GROUPE,SOUSGROUPE,ALIMENT,CALORIES,PROTEINES,GLUCIDES,LIPIDES,FRUCTOSE,SUCRES,GALACTOSE,GLUCOSE,LACTOSE,MALTOSE,SACCHAROSE,AMIDON
plats composés,entrées et plats composés,Sushi ou Maki aux produits de la mer,171.0,6.69,26.9,3.7,1.76,4.93,0.1,2.28,0.1,0.31,0.58,19.0
plats composés,entrées et plats composés,Terrine ou mousse de légumes,0.0,4.05,5.6,9.56,0.0,1.77,0.0,0.0,0.0,0.0,0.0,3.83
plats composés,entrées et plats composés,Flan de légumes,0.0,5.38,4.13,18.6,0.49,2.06,0.1,0.46,1.01,0.1,0.1,1.5
plats composés,entrées et plats composés,"Haricots blancs à la sauce tomate, appertisés",0.0,4.67,10.1,0.4,0.3,1.65,0.0,0.3,0.0,0.3,0.3,0.0
plats composés,entrées et plats composés,"Piperade basquaise, préemballée",0.0,1.1,6.5,3.8,1.98,4.9,0.0,1.74,0.2,0.2,1.19,0.0
plats composés,entrées et plats composés,"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",81.2,2.6,12.1,1.77,0.53,1.5,0.0,0.34,0.0,0.14,0.49,0.0
plats composés,entrées et plats composés,"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",0.0,3.13,5.83,3.93,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",0.0,1.61,4.33,1.77,1.13,2.66,0.0,1.0,0.3,0.13,0.4,0.0
plats composés,entrées et plats composés,"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",0.0,1.89,3.59,1.21,0.8,1.81,0.0,0.82,0.0,0.3,0.18,0.0
plats composés,entrées et plats composés,"Ratatouille cuisinée, préemballée",0.0,1.22,4.97,3.15,1.4,3.91,0.0,1.5,0.2,0.2,0.3,0.0
plats composés,entrées et plats composés,"Épinards à la crème, préemballés",0.0,2.5,4.1,2.9,0.12,1.19,0.1,0.1,1.07,0.1,0.1,0.0
plats composés,entrées et plats composés,"Gratin d'aubergine, préemballé",0.0,1.95,5.45,8.68,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
plats composés,entrées et plats composés,Gratin dauphinois,0.0,3.38,14.5,4.2,0.2,2.08,0.1,0.26,0.94,0.57,0.11,12.0
plats composés,entrées et plats composés,Endive au jambon,0.0,7.44,4.71,6.3,0.25,1.98,0.1,0.66,1.08,0.1,0.1,2.73
plats composés,entrées et plats composés,"Gratin de chou-fleur, préemballé",0.0,3.0,3.3,6.5,0.33,0.88,0.0,0.38,0.0,0.3,0.3,2.42
plats composés,entrées et plats composés,Gratin de légumes,0.0,3.44,6.91,6.7,0.63,3.42,0.1,0.66,1.58,0.1,0.45,1.65
plats composés,entrées et plats composés,"Riste d'aubergines (aubergines, tomates, oignons), préemballée",0.0,1.05,10.6,10.4,0.0,5.2,0.0,1.5,0.0,0.2,0.8,0.0
plats composés,entrées et plats composés,"Palet ou galette de légumes, préfrit, surgelé",0.0,3.29,10.7,5.44,0.47,3.34,0.0,0.47,0.0,0.3,0.58,0.0
plats composés,entrées et plats composés,"Palet ou galette de légumes, préfrit, surgelé, cuit",0.0,3.31,8.45,5.7,1.0,3.0,0.0,0.8,0.7,0.2,0.5,4.5
plats composés,entrées et plats composés,"Choucroute, sans garniture, égouttée, cuite",75.3,1.38,0.1,6.6,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.35
plats composés,entrées et plats composés,"Tomate à la provençale, fait maison",0.0,1.65,6.55,4.32,0.0,2.71,0.0,0.0,0.0,0.0,0.0,3.84
plats composés,entrées et plats composés,Beignet de légumes,0.0,3.52,23.0,8.52,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0
