Aliment,Energie,Proteines,Glucides,Lipides,Fructose,Sucres,Galactose,Glucose,Lactose,Maltose,Saccharose,Amidon
"Eau de vie, type calvados",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saké ou Alcool de riz,133.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocktail à base de rhum,0.0,0.0,22.5,2.19,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0
Cocktail à base de whisky,0.0,0.0,15.9,0.02,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0
Sangria,0.0,0.0,10.3,0.05,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.21
Kir (au vin blanc),0.0,0.18,7.36,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0
Kir royal (au champagne),0.0,0.25,7.97,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0
"Cocktail type punch, 16% alcool",0.0,0.6,17.8,0.6,2.89,17.8,0.0,2.97,0.51,0.1,11.4,0.0
Cocktail sans alcool (à base de jus de fruits et de sirop),0.0,0.5,12.8,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0
Panaché (limonade et bière),36.2,0.0,5.63,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Panaché préemballé (<1° alc.),25.4,0.48,4.93,0.05,0.96,4.92,0.0,0.95,0.2,0.48,2.53,0.0
"Édulcorant à l'aspartame, en pastilles",216.0,6.35,69.3,0.0,0.0,6.65,0.0,0.2,0.0,0.2,0.23,0.0
"Édulcorant à l'aspartame, en poudre",0.0,0.63,94.7,0.25,0.0,9.33,0.0,0.4,0.0,3.35,0.23,0.0
Vermicelles multicolores,0.0,0.5,93.0,5.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
Miel,0.0,0.56,81.7,0.0,39.9,79.8,3.1,33.5,0.0,1.49,1.24,0.0
Sucre blanc,0.0,0.0,99.8,0.0,0.0,99.8,0.0,0.0,0.0,0.0,99.8,0.0
Sucre roux,0.0,0.12,97.3,0.0,0.81,95.5,0.0,0.93,0.0,0.0,93.8,0.0
Sirop d'érable,0.0,0.04,67.1,0.06,0.43,62.6,0.0,0.71,0.0,0.0,61.5,0.0
Sucre vanillé,0.0,0.1,99.0,0.33,0.2,97.2,0.0,0.2,0.2,0.2,0.0,0.0
Caramel liquide ou nappage caramel,0.0,0.0,81.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
Édulcorant à la saccharine,0.0,1.25,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mélasse de canne,0.0,0.0,74.7,0.1,12.8,74.7,0.0,11.9,0.0,0.0,29.4,0.0
Sucre allégé à l'aspartame,0.0,0.81,98.7,0.0,0.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0
Fructose,0.0,0.0,99.8,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Édulcorant à base d'extrait de stévia,238.0,0.0,98.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Sirop d'agave,0.0,0.5,78.1,0.5,0.0,70.2,0.0,9.55,0.0,0.0,0.55,0.0
Barre chocolatée biscuitée,523.0,6.14,60.5,28.1,0.9,46.9,0.0,0.23,8.85,0.2,33.8,7.3
Barre chocolatée non biscuitée enrobée,496.0,3.7,66.4,24.1,0.3,60.5,0.0,1.6,7.2,1.28,33.0,4.49
"Barre à la noix de coco, enrobée de chocolat",475.0,3.88,60.2,23.8,0.2,53.0,0.0,3.31,3.8,3.41,42.5,3.9
"Chocolat au lait, tablette",537.0,7.5,55.6,30.8,0.1,53.1,0.1,0.1,10.8,0.1,42.3,2.45
"Chocolat noir à moins de 70% de cacao, à croquer, tablette",0.0,6.63,42.9,33.8,0.2,38.3,0.0,0.2,0.31,0.2,38.0,4.6
"Chocolat au lait aux céréales croustillantes, tablette",0.0,7.15,60.6,26.6,0.0,50.8,0.0,0.23,0.0,0.2,39.0,8.1
"Chocolat blanc, tablette",0.0,6.16,57.1,34.2,0.2,56.0,0.0,0.18,10.7,0.22,43.4,0.0
Barres ou confiserie chocolatées au lait,551.0,8.75,50.9,34.2,0.32,43.3,0.1,0.94,9.4,1.26,31.4,7.6
"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",0.0,8.43,48.7,35.9,0.2,43.6,0.0,0.2,8.41,0.2,35.0,2.5
"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",487.0,5.75,54.2,34.6,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0
"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",0.0,7.64,48.0,39.1,0.0,45.1,0.0,0.25,0.0,0.2,32.1,0.0
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",525.0,8.48,34.1,42.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Pâte à tartiner chocolat et noisette,0.0,5.02,57.9,32.4,0.3,56.2,0.0,0.23,5.97,0.36,50.2,0.6
Confiserie au chocolat dragéifiée,505.0,5.49,65.0,24.3,0.049,57.4,0.0,0.8,9.93,1.63,44.8,6.87
Cacahuètes enrobées de chocolat dragéifiées,499.0,9.5,55.9,25.0,0.2,50.5,0.0,0.2,6.2,0.2,44.3,3.4
Bouchée chocolat fourrage fruits à coques et/ou praliné,0.0,9.1,51.5,34.7,0.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0
Rocher chocolat fourré praliné,0.0,6.53,51.4,35.3,0.2,49.2,0.0,0.4,5.3,0.2,36.6,0.0
"Chocolat noir aux fruits (orange, framboise, poire), tablette",0.0,6.8,45.3,34.4,0.0,35.7,0.0,3.76,0.0,0.99,30.9,0.0
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",567.0,8.69,40.7,39.0,0.21,38.2,0.1,0.1,0.21,0.1,37.6,2.3
Barre chocolatée aux fruits secs,494.0,7.23,57.6,26.0,1.37,45.1,0.0,6.35,6.77,3.88,26.7,10.9
Chocolat noir fourrage confiseur à la menthe,0.0,2.9,70.5,16.0,9.0,69.0,0.0,10.1,0.2,1.2,48.7,0.0
Barre goûter frais au lait et chocolat,0.0,6.81,41.0,28.5,1.31,32.8,0.1,2.88,5.91,0.18,22.5,0.0
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette",591.0,10.4,26.9,46.3,0.2,17.9,0.0,0.2,0.2,0.2,17.9,4.4
Chocolat au lait fourré,0.0,4.8,45.5,45.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0
"Chocolat noir fourré praliné, tablette",0.0,6.38,52.4,34.8,0.2,48.8,0.0,0.2,1.1,0.2,45.5,1.5
"Chocolat au lait fourré au praliné, tablette",0.0,7.29,52.9,34.9,0.2,49.9,0.0,0.19,6.55,0.2,43.2,0.9
"Chocolat noir à 40% de cacao minimum, à pâtisser, tablette",0.0,6.39,51.4,33.1,0.0,41.6,0.0,0.11,0.0,0.2,41.5,0.0
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit,0.0,6.5,55.1,29.4,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0
Barre chocolat au lait avec nougat,532.0,5.8,60.5,29.0,1.95,60.1,0.0,1.75,5.84,0.2,50.6,0.39
Barre goûter frais au lait et chocolat avec génoise,0.0,6.68,39.0,34.2,0.6,33.3,0.0,1.5,4.5,0.2,26.7,5.5
"Bonbons, tout type",0.0,1.75,86.5,6.32,1.35,64.4,0.0,5.63,0.1,9.93,44.9,0.0
"Chewing-gum, sucré",372.0,0.5,90.6,0.32,0.13,68.1,0.1,4.88,0.1,1.61,61.5,0.0
Pâte de fruits,336.0,1.69,76.6,1.8,9.53,69.2,0.1,11.0,0.1,7.65,41.0,0.4
Zeste d'orange confit,0.0,0.2,82.7,0.2,0.0,82.7,0.0,0.0,0.0,0.0,0.0,0.0
Marron glacé,324.0,0.94,79.5,0.5,2.99,56.6,0.0,7.59,0.2,8.49,37.5,13.2
Fruit confit,298.0,0.5,72.3,0.3,18.2,62.9,0.1,24.6,0.1,11.9,8.22,0.0
Nougat ou touron,0.0,7.88,62.5,25.2,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
Dragée amande,0.0,5.0,73.9,17.2,0.0,71.9,0.0,0.0,0.0,0.0,0.0,0.0
Guimauve ou marshmallow,0.0,3.67,78.7,1.42,3.6,65.6,0.0,14.1,0.0,6.68,40.0,0.0
"Chewing-gum, sans sucre",228.0,0.69,78.1,0.45,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.35
Bonbon dur et sucette,0.0,0.19,95.4,0.35,0.98,74.9,0.0,1.84,0.0,22.4,49.7,0.0
Bonbon gélifié,0.0,6.28,80.2,0.25,2.2,68.1,0.0,15.1,0.0,29.2,16.1,0.0
"Bonbon au caramel, mou",0.0,2.95,83.7,8.04,0.6,60.4,0.0,3.6,2.4,13.7,32.5,0.0
Calissons d'Aix en Provence,440.0,7.88,60.3,18.0,2.8,50.1,0.0,9.6,0.2,13.2,24.5,1.1
"Guimauve ou marshmallow, enrobé de chocolat",0.0,4.65,66.2,10.3,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0
Bonbon dur au caramel,0.0,1.21,72.5,6.0,0.0,72.5,0.0,1.85,0.0,17.5,49.8,0.0
"Confiture ou Marmelade, tout type de fruits (aliment moyen)",249.0,0.29,60.2,0.31,15.3,59.0,0.076,17.4,0.085,1.3,24.2,1.4
Confiture de fraise (extra ou classique),251.0,0.5,60.5,0.5,13.4,60.1,0.2,15.1,0.2,0.9,30.7,0.35
Confiture d'abricot (extra ou classique),247.0,0.5,59.7,0.3,13.0,56.8,0.1,15.1,0.1,1.55,27.1,2.95
Confiture de cerise (extra ou classique),0.0,0.38,60.9,0.16,22.4,60.0,0.0,22.7,0.2,0.2,11.9,0.0
Marmelade d'orange,246.0,0.5,59.3,0.4,16.5,56.9,0.1,18.7,0.1,1.58,20.1,2.38
Confiture de lait,0.0,6.32,58.0,5.45,0.31,51.7,1.03,1.66,4.92,0.15,43.5,0.0
Confiture de prune (extra ou classique),0.0,0.27,59.3,0.1,14.8,59.3,0.0,19.4,0.2,2.3,22.7,0.0
Confiture de framboise (extra ou classique),0.0,0.47,61.0,0.21,19.0,59.5,0.0,19.9,0.2,1.6,15.5,0.0
Confiture de myrtilles (extra ou classique),246.0,0.5,58.9,0.4,18.4,58.9,0.1,22.8,0.1,1.4,16.1,0.0
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures),0.0,0.49,43.4,0.33,15.2,40.5,0.0,15.9,0.2,0.2,9.4,0.0
Gelée de fruits divers (extra ou classique),0.0,0.35,61.6,0.17,19.0,61.6,0.0,19.4,0.0,0.3,16.9,0.0
Gelée de groseille (extra ou classique),246.0,0.5,59.6,0.3,18.3,58.7,0.1,19.3,0.1,0.82,20.3,0.0
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)",162.0,0.75,38.0,0.3,11.5,38.0,0.1,11.7,0.1,0.1,14.8,0.0
Pain brioché ou viennois,356.0,10.7,55.5,9.38,2.2,6.9,0.0,1.6,0.9,2.2,0.2,39.1
Viennoiserie (aliment moyen),380.0,8.02,49.1,16.2,2.89,12.8,0.081,2.77,0.3,1.68,4.81,31.0
"Croissant, sans précision",375.0,7.29,40.4,20.0,2.55,8.83,0.0,1.45,0.3,1.35,0.3,31.6
"Croissant ordinaire, artisanal",412.0,6.94,47.6,21.1,3.78,7.88,0.1,2.73,0.17,1.2,0.1,34.1
"Croissant au beurre, artisanal",420.0,7.25,45.7,22.6,3.5,7.3,0.2,2.5,0.4,0.9,0.2,33.7
"Croissant aux amandes, artisanal",446.0,8.36,35.9,29.1,0.0,14.1,0.0,0.0,0.0,0.0,0.0,21.7
"Pain au lait, artisanal",382.0,9.38,50.6,15.4,3.7,9.94,0.1,2.42,0.85,1.06,1.91,40.7
"Pain au lait, préemballé",359.0,8.94,52.2,12.3,3.64,11.9,0.1,3.01,0.53,1.7,3.05,40.2
"Pain au lait aux pépites de chocolat, préemballé",369.0,8.51,52.0,13.5,1.54,18.0,0.0,1.22,0.97,4.62,9.65,31.3
Pain aux raisins (viennoiserie),333.0,5.6,55.9,9.0,8.14,18.7,0.0,7.52,0.5,1.07,1.97,26.0
"Pain au chocolat feuilleté, artisanal",423.0,8.19,45.4,22.5,3.17,12.8,0.1,2.5,0.2,0.96,5.99,29.8
"Pain au chocolat, préemballé",425.0,7.56,46.8,22.3,1.4,11.1,0.2,1.1,0.2,2.3,6.1,21.3
"Brioche (ou briochettes) aux pépites de chocolat, préemballée",348.0,8.56,51.6,11.2,2.73,17.0,0.1,2.17,0.1,2.55,9.51,29.0
Brioche fourrée au chocolat,351.0,7.47,53.2,11.6,1.53,21.1,0.0,4.13,0.48,2.53,11.4,31.1
"Brioche fourrée aux fruits, préemballée",346.0,6.9,50.5,12.1,4.49,18.4,0.0,6.0,0.1,2.93,4.98,24.2
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée",300.0,6.22,49.2,8.41,0.0,20.7,0.0,0.0,0.0,0.0,0.0,20.5
"Brioche, préemballée",354.0,8.13,52.7,11.8,3.4,12.7,0.2,3.4,0.2,1.7,4.2,31.1
"Brioche, sans précision",401.0,11.3,46.0,19.1,3.0,5.7,0.0,1.7,0.6,1.0,0.2,32.2
"Brioche, de boulangerie traditionnelle",374.0,9.81,49.2,14.7,3.6,0.0,0.0,4.7,0.5,0.8,1.3,38.0
"Couronne de Noël (Brioche) aux fruits confits, préemballée",355.0,7.2,53.3,12.3,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0
"Brioche pur beurre, préemballée",366.0,8.0,51.6,14.0,2.2,13.4,0.0,1.9,0.2,1.4,7.9,26.2
Chouquette,381.0,7.76,42.6,18.6,0.2,27.1,0.0,0.2,0.2,0.2,27.1,15.5
Chausson aux pommes,338.0,4.17,36.6,18.7,3.5,11.2,0.0,3.6,0.2,2.0,2.1,25.2
"Tartine craquante, extrudée et grillée, fourrée au chocolat",0.0,7.85,64.3,16.0,0.5,30.2,0.0,0.5,1.8,0.5,26.2,34.1
"Tartine craquante, extrudée et grillée, fourrée aux fruits",0.0,5.38,74.7,6.44,4.9,28.8,0.0,8.9,0.5,0.5,13.5,37.1
Macaron sec,0.0,6.9,77.7,10.2,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
"Biscuit sec, sans précision",0.0,6.9,65.0,20.6,0.0,24.7,0.0,0.036,0.15,0.0,24.5,40.3
Biscuit sec nature,0.0,6.77,70.0,15.1,0.0,23.6,0.0,0.0,0.0,3.2,18.4,32.0
Biscuit sec à teneur garantie en vitamines,0.0,9.63,72.6,14.2,0.0,23.3,0.0,0.0,0.0,0.0,0.0,49.0
Biscuit sec à teneur garantie en vitamines et minéraux,0.0,10.8,61.9,19.8,3.2,22.1,0.0,4.22,0.2,1.79,12.9,39.0
"Biscuit sec aux fruits, hyposodé",0.0,10.8,61.4,15.8,0.0,20.2,0.0,0.0,0.0,0.0,0.0,38.1
"Biscuit sec aux fruits hyposodé, sans sucres ajoutés",0.0,22.7,47.6,20.7,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0
"Biscuit sec croquant au chocolat, allégé en matière grasse",0.0,7.0,69.0,11.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,46.6
"Biscuit sec fourré aux fruits, allégé en matière grasse",0.0,4.69,75.3,7.2,7.8,0.0,0.0,8.9,0.5,0.9,23.0,36.1
Spéculoos,0.0,5.94,69.0,19.7,0.5,32.6,0.0,2.13,0.2,0.28,25.3,0.0
"Biscuit sec, avec matière grasse végétale",0.0,7.23,74.7,11.8,0.2,21.7,0.0,0.2,0.3,0.2,21.4,49.2
"Biscuit sec, petits fours en assortiment",0.0,6.44,61.4,26.4,0.2,39.4,0.1,0.38,2.66,0.2,36.0,20.8
Biscuit sec petit beurre,0.0,8.06,74.5,12.1,0.2,21.5,0.2,0.2,0.4,0.2,21.1,45.0
Biscuit sec avec tablette de chocolat,0.0,6.62,63.3,24.1,0.2,36.8,0.0,0.17,3.73,0.13,30.2,26.5
Biscuit sec petit beurre au chocolat,0.0,7.19,71.1,16.0,0.2,24.5,0.0,0.2,0.2,0.2,24.5,0.0
Biscuit sec au lait,0.0,8.25,73.9,11.5,0.0,20.0,0.0,0.0,0.0,0.0,19.7,47.4
"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",0.0,5.63,80.1,8.8,0.5,29.4,0.0,0.5,0.5,0.5,29.4,24.4
Biscuit sec pour petit déjeuner,0.0,7.81,65.8,16.3,0.17,21.0,0.1,0.21,0.3,0.1,20.3,40.4
"Biscuit sec pour petit déjeuner, allégé en sucres",0.0,7.68,66.3,16.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,45.9
"Biscuit sec chocolaté, préemballé",0.0,6.43,61.7,26.9,2.62,34.3,0.0,0.2,1.17,0.2,30.5,27.4
Biscuit sec fourré à la pâte ou purée de fruits,0.0,4.43,69.2,9.11,4.4,43.4,0.0,8.1,0.2,3.5,11.2,21.5
Biscuit sec avec nappage chocolat,0.0,6.93,61.9,25.0,0.2,36.7,0.0,0.14,3.56,0.14,29.9,25.2
"Barre biscuitée fourrée aux fruits, allégée en matière grasse",0.0,3.32,75.7,7.12,0.0,41.9,0.0,0.0,0.0,0.0,0.0,20.9
"Biscuit sec pour petit déjeuner, au chocolat",0.0,6.5,69.7,16.6,0.2,29.8,0.0,0.2,0.4,0.22,24.7,36.0
"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",445.0,7.44,67.7,15.7,0.15,23.4,0.1,0.19,0.2,0.17,22.7,23.3
"Biscuit sec au beurre, sablé, galette ou palet",0.0,6.4,64.8,22.7,0.2,24.3,0.0,0.2,0.2,0.2,24.3,40.5
"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",0.0,6.64,61.0,25.3,0.2,28.9,0.0,0.62,0.26,0.26,27.8,28.9
"Biscuit sec chocolaté, type barquette",0.0,7.39,60.9,22.8,0.0,43.1,0.0,1.5,0.0,0.7,38.6,16.2
"Biscuit sec chocolaté, type tartelette",0.0,6.65,60.2,25.8,0.2,29.2,0.0,0.19,1.74,1.74,25.5,25.9
"Biscuit sec chocolaté, type galette",0.0,6.84,63.7,23.5,0.0,28.2,0.0,0.0,0.0,0.0,0.0,34.0
"Biscuit sec, sablé, galette ou palet, aux fruits",0.0,5.93,67.6,19.3,1.0,31.0,0.0,1.3,0.3,0.2,25.4,27.8
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté),511.0,5.5,59.8,27.2,0.15,29.7,0.1,0.62,0.18,1.07,27.7,26.6
Florentin (biscuit sec sucré chocolaté aux amandes),514.0,9.31,50.7,28.7,2.28,44.1,0.1,4.41,2.61,3.55,31.2,1.7
Biscuit pâtissier meringué,0.0,7.42,56.0,30.7,0.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0
Sablé à la noix de coco,0.0,7.1,66.5,20.1,0.3,24.2,0.0,0.3,0.0,0.3,24.2,0.0
"Sablé pâtissier, artisanal",0.0,8.38,59.4,22.9,0.5,0.0,0.0,0.5,0.5,0.5,22.0,29.3
"Sablé aux fruits (pomme, fruits rouges, etc.)",0.0,5.85,66.0,21.1,0.0,32.0,0.0,0.58,0.0,0.26,26.5,0.0
"Sablé au cacao ou chocolat, au praliné ou autre",0.0,6.63,61.2,24.6,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille",0.0,5.36,71.2,18.6,0.2,34.7,0.0,0.6,0.2,3.9,28.6,32.6
"Goûter sec fourré (""sandwiché"") parfum chocolat",0.0,6.7,67.9,18.0,0.2,29.8,0.0,0.23,0.55,1.26,27.8,38.1
"Goûter sec fourré (""sandwiché"") parfum fruits",0.0,6.64,73.3,17.4,1.6,31.6,0.0,6.6,0.2,7.5,15.1,41.8
Gaufrette ou éventail sans fourrage,0.0,9.0,76.8,8.0,0.0,35.0,0.0,0.23,0.0,0.35,35.0,35.5
"Gaufrette fourrée chocolat, préemballée",0.0,6.38,57.2,29.8,0.2,35.8,0.0,0.13,2.62,0.15,32.9,0.0
"Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée",0.0,7.31,59.6,26.4,0.2,37.4,0.0,5.72,1.34,0.12,30.2,15.3
"Gaufrette, fourrée vanille, préemballée",538.0,5.75,60.1,30.1,0.1,32.9,0.1,5.98,5.93,0.18,20.8,24.4
"Gaufrette fourrée, aux fruits",0.0,4.43,82.4,1.58,0.0,41.7,0.0,15.6,0.0,17.1,0.25,24.4
Cigarette,0.0,5.29,63.0,27.5,0.0,38.0,0.0,0.5,0.0,0.45,36.4,25.0
Crêpe dentelle,0.0,6.27,72.1,15.5,0.0,36.7,0.0,2.75,0.0,0.5,28.0,0.0
"Crêpe dentelle au chocolat, préemballée",0.0,5.91,67.9,21.8,0.0,42.4,0.0,0.94,0.0,0.36,40.6,0.0
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir,0.0,7.98,79.9,3.77,0.5,47.9,0.0,0.5,0.5,0.5,47.9,24.3
Biscuit sec type langue de chat ou cigarette russe,0.0,5.66,77.9,10.7,0.2,40.3,0.0,0.39,1.25,0.2,38.7,36.9
Meringue,0.0,4.06,94.3,0.5,0.2,94.3,0.0,0.2,0.2,0.2,94.3,0.0
"Biscuit sec ou tuile, aux amandes",471.0,7.8,68.0,18.1,0.0,39.2,0.0,0.25,0.0,0.2,38.9,28.6
"Biscuit sec type tuile, aux fruits",384.0,5.43,74.9,8.28,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0
"Biscuit sec feuilleté, type palmier ou autres",0.0,6.1,60.5,27.6,1.36,21.6,0.0,1.59,0.2,0.52,18.1,38.9
"Palmier, artisanal",0.0,5.93,53.1,28.2,0.5,21.8,0.0,0.8,0.2,0.6,19.9,24.7
"Biscuit sec (génoise) nappage aux fruits, type barquette",341.0,4.44,74.4,2.1,8.24,51.1,0.1,12.6,0.1,6.2,24.1,16.3
"Biscuit sec nappé aux fruits, tartelette",0.0,4.7,71.3,14.2,5.43,32.7,0.0,8.87,0.2,7.56,10.8,30.1
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,0.0,4.25,79.3,1.92,7.3,52.9,0.0,14.3,0.2,10.4,20.7,25.9
Cookie aux pépites de chocolat,0.0,6.47,59.0,25.9,0.2,31.5,0.0,0.2,0.11,0.12,31.2,27.5
"Cône ou cornet classique, pour glace",0.0,7.5,80.4,5.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0
Génoise sèche fourrée aux fruits et nappée de chocolat,0.0,3.23,69.5,10.6,2.3,51.7,0.0,7.2,0.2,5.8,24.6,11.4
Biscuit sec pauvre en glucides,0.0,20.8,43.8,18.5,9.5,19.3,0.0,0.0,0.0,0.0,0.0,0.0
"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux",391.0,8.0,82.2,2.2,2.44,35.3,0.1,3.68,0.1,3.35,25.8,41.0
"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",408.0,8.13,70.4,8.9,0.1,26.2,0.1,0.2,0.85,0.78,24.3,44.2
"Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux",360.0,11.5,59.3,4.42,0.0,22.1,0.0,0.0,0.0,0.0,0.0,36.5
"Pétales de maïs natures, enrichis en vitamines et minéraux",377.0,7.4,83.2,0.87,1.17,9.53,0.0,1.99,0.2,0.2,6.37,73.7
"Riz soufflé nature, enrichi en vitamines et minéraux",391.0,7.0,87.0,1.5,0.4,8.0,0.0,0.5,0.2,0.2,5.7,77.0
"Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux",386.0,11.5,64.0,6.75,0.0,19.3,0.0,0.0,0.0,0.0,0.0,44.7
"Pétales de blé chocolatés, enrichis en vitamines et minéraux",388.0,9.04,77.7,3.24,0.35,29.9,0.0,0.24,0.2,2.8,26.5,47.8
Pétales de blé chocolatés (non enrichis en vitamines et minéraux),388.0,8.48,80.1,2.64,0.2,30.3,0.0,0.2,0.2,0.2,30.3,39.2
Riz soufflé chocolaté (non enrichi en vitamines et minéraux),388.0,6.31,84.2,2.2,0.2,32.5,0.0,0.4,0.5,7.0,24.0,45.7
"Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)",386.0,7.73,79.6,2.93,0.3,31.2,0.0,0.33,0.0,0.77,28.4,0.0
Pétales de maïs natures (non enrichis en vitamines et minéraux),380.0,8.14,82.8,1.05,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0
"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux",433.0,7.81,69.2,13.0,0.16,29.1,0.1,0.47,2.07,0.15,26.2,37.3
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,442.0,7.33,67.2,14.8,0.0,34.3,0.0,0.14,0.0,0.12,31.0,0.0
"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",419.0,8.42,64.7,13.3,2.2,31.2,0.0,6.8,0.2,2.4,15.6,0.0
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",382.0,11.4,78.6,1.65,0.0,17.2,0.0,0.0,0.0,0.0,0.0,57.5
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",394.0,7.5,73.9,5.9,0.51,19.5,0.1,0.41,0.1,0.42,18.2,48.7
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",378.0,10.5,77.9,1.74,0.0,20.6,0.0,0.0,0.0,0.0,0.0,54.7
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",394.0,9.77,75.5,4.93,0.0,23.7,0.0,0.0,0.0,0.0,0.0,50.0
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",411.0,10.3,74.6,7.01,0.5,22.9,0.0,0.5,0.4,0.4,19.6,43.2
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",378.0,10.5,78.7,1.4,2.2,19.0,0.0,2.4,0.3,0.7,13.1,54.3
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",379.0,11.3,79.0,1.25,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0
"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",401.0,7.51,75.0,6.77,1.08,24.4,0.05,1.23,0.75,0.91,20.6,48.4
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),379.0,4.4,88.0,0.6,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0
"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",436.0,8.88,59.7,16.7,4.4,21.7,0.0,4.49,0.2,1.5,11.3,31.2
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),442.0,8.57,63.2,16.7,0.2,22.7,0.0,0.36,0.36,1.08,20.9,34.1
"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",361.0,9.19,65.4,5.0,4.98,23.8,0.1,4.4,3.66,0.42,10.3,41.6
"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",460.0,5.67,68.4,17.3,2.83,30.0,0.0,2.92,0.2,0.55,18.5,37.3
